0.1	97	12640
0.2	129	11343
0.3	129	11364
0.4	129	11429
0.5	199	12640
0.6	258	12801
0.7	264	12640
0.8	258	11343
0.9	258	15795
1	151	15795
1.1	264	12285
1.2	129	11348
1.3	129	15633
1.4	156	15633
1.5	161	15633
1.6	161	11348
1.7	161	15633
1.8	92	12645
1.9	651	11343
2	662	11364
2.1	258	11429
2.2	258	11714
2.3	156	11714
2.4	221	11719
2.5	194	11348
2.6	194	11816
2.7	264	11822
2.8	264	11816
2.9	264	11348
3	124	11822
3.1	199	11816
3.2	264	11816
3.3	199	11343
3.4	194	11816
3.5	199	11816
3.6	156	11816
3.7	129	11332
3.8	129	11343
3.9	129	11822
4	151	11816
4.1	167	11822
4.2	221	11434
4.3	657	11816
4.4	118	11816
4.5	129	11816
4.6	129	11348
4.7	129	12042
4.8	194	11741
4.9	258	11816
5	264	11865
5.1	258	11359
5.2	258	11816
5.3	221	11816
5.4	215	11337
5.5	161	11348
5.6	161	11262
5.7	151	15633
5.8	221	15633
5.9	194	11348
6	194	15633
6.1	199	15633
6.2	258	15628
6.3	264	11337
6.4	118	11429
6.5	199	11816
6.6	215	11709
6.7	258	11714
6.8	161	11348
6.9	167	11714
7	194	11709
7.1	129	11337
7.2	129	11434
7.3	129	11461
7.4	194	11816
7.5	258	11822
7.6	264	11343
7.7	258	11434
7.8	199	12285
7.9	135	12285
8	129	11122
8.1	129	11429
8.2	129	12285
8.3	167	12285
8.4	167	12285
8.5	161	11348
8.6	161	12279
8.7	97	12285
8.8	651	11337
8.9	264	11569
9	258	12258
9.1	92	12285
9.2	221	12495
9.3	194	11337
9.4	194	12231
9.5	199	12317
9.6	264	12344
9.7	264	12462
9.8	264	11343
9.9	129	12193
10	264	12188
10.1	258	12285
10.2	194	11348
10.3	194	12285
10.4	199	12177
10.5	129	11348
10.6	129	11348
10.7	129	11429
10.8	145	11989
10.9	167	12473
11	167	11994
11.1	221	11359
11.2	221	15030
11.3	97	11994
11.4	129	12177
11.5	129	11348
11.6	199	12285
11.7	199	12285
11.8	264	12640
11.9	264	11348
12	258	10982
12.1	194	11262
12.2	215	11337
12.3	156	11364
12.4	167	11429
12.5	199	11262
12.6	151	11262
12.7	221	11413
12.8	194	11343
12.9	194	11262
13	264	11117
13.1	264	11262
13.2	264	11348
13.3	124	11348
13.4	199	11262
13.5	258	11262
13.6	258	11348
13.7	161	11456
13.8	113	11117
13.9	135	11353
14	129	11364
14.1	129	11429
14.2	129	12640
14.3	258	12473
14.4	264	12640
14.5	264	11348
14.6	258	11117
14.7	194	11117
14.8	129	11402
14.9	129	11348
15	129	15633
15.1	156	15633
15.2	156	15633
15.3	161	11337
15.4	161	11429
15.5	199	15633
15.6	215	11822
15.7	657	11359
15.8	264	11343
15.9	258	11714
16	97	11714
16.1	221	11709
16.2	194	11348
16.3	194	11822
16.4	92	11709
16.5	258	11816
16.6	264	11348
16.7	124	11816
16.8	199	11822
16.9	264	11816
17	264	11822
17.1	194	11429
17.2	199	11822
17.3	124	11822
17.4	129	11337
17.5	129	11434
17.6	129	11816
17.7	156	11816
17.8	167	11816
17.9	221	11348
18	221	11816
18.1	194	11768
18.2	135	11816
18.3	129	11337
18.4	129	11429
18.5	199	11811
18.6	264	11822
18.7	264	11822
18.8	258	11343
18.9	264	11816
19	97	15795
19.1	657	11337
19.2	161	11434
19.3	161	11816
19.4	199	15633
19.5	221	15633
19.6	194	11348
19.7	194	11434
19.8	199	15633
19.9	258	15633
20	258	11989
20.1	129	11359
20.2	129	11816
20.3	97	11709
20.4	264	11714
20.5	161	11429
20.6	161	11714
20.7	194	11709
20.8	129	11337
20.9	129	11348
21	129	11816
21.1	194	11822
21.2	264	11822
21.3	264	11343
21.4	258	11429
21.5	194	12279
21.6	135	12285
21.7	135	11466
21.8	129	11343
21.9	129	12285
22	151	12285
22.1	167	12172
22.2	161	11348
22.3	167	12462
22.4	199	12285
22.5	210	11348
22.6	264	11348
22.7	258	12199
22.8	92	11989
22.9	221	12489
23	215	11364
23.1	194	11429
23.2	194	12285
23.3	258	12199
23.4	258	12495
23.5	522	11429
23.6	129	12285
23.7	194	12285
23.8	264	12285
23.9	194	11348
24	194	12285
24.1	199	12199
24.2	135	11337
24.3	129	11364
24.4	129	11429
24.5	199	11994
24.6	167	12640
24.7	167	12635
24.8	221	11343
24.9	221	15224
25	194	15030
25.1	129	12188
25.2	129	11348
25.3	129	12640
25.4	199	12285
25.5	258	11994
25.6	264	11348
25.7	258	11434
25.8	92	11111
25.9	215	11343
26	221	11364
26.1	161	11429
26.2	167	11111
26.3	97	11262
26.4	657	11413
26.5	194	11429
26.6	194	11267
26.7	199	11262
26.8	258	11262
26.9	129	11434
27	124	11117
27.1	199	11262
27.2	151	11262
27.3	258	11472
27.4	161	11429
27.5	161	11256
27.6	156	11262
27.7	140	11262
27.8	140	11106
27.9	140	11472
28	151	11466
28.1	156	11251
