0.1	217	12264
0.2	23	12480
0.3	158	12076
0.4	158	12293
0.5	158	12527
0.6	217	12064
0.7	158	12357
0.8	229	12416
0.9	234	12146
1	234	12352
1.1	129	12404
1.2	129	12217
1.3	234	13096
1.4	229	12305
1.5	35	12926
1.6	129	12580
1.7	797	12469
1.8	234	12639
1.9	170	12088
2	158	12029
2.1	234	12445
2.2	23	12012
2.3	41	11971
2.4	129	12135
2.5	158	12023
2.6	158	12949
2.7	170	12053
2.8	29	12521
2.9	129	12029
3	234	12258
3.1	158	12029
3.2	100	12809
3.3	41	11994
3.4	234	12141
3.5	23	12094
3.6	234	13049
3.7	234	12434
3.8	217	12551
3.9	234	12070
4	229	12023
4.1	35	12064
4.2	240	13072
4.3	240	12053
4.4	293	12158
4.5	170	13752
4.6	41	12035
4.7	240	12117
4.8	211	12029
4.9	53	12275
5	146	12363
5.1	2648	12018
5.2	234	12158
5.3	64	12967
5.4	158	12311
5.5	164	12123
5.6	129	12146
5.7	129	12275
5.8	129	12158
5.9	47	12404
6	240	12006
6.1	23	12328
6.2	129	12123
6.3	246	12264
6.4	264	12082
6.5	129	12246
6.6	246	12199
6.7	35	12475
6.8	129	12035
6.9	252	12146
7	234	12082
7.1	135	12170
7.2	35	12826
7.3	240	12146
7.4	252	12082
7.5	158	12129
7.6	53	11982
7.7	41	12018
7.8	158	12486
7.9	129	13617
8	41	12387
8.1	217	13148
8.2	35	12105
8.3	146	12363
8.4	176	12012
8.5	35	12006
8.6	234	12457
8.7	23	12117
8.8	129	11988
8.9	246	12270
9	129	12375
9.1	234	12592
9.2	240	12082
9.3	35	12668
9.4	146	12076
9.5	164	12721
9.6	234	12229
9.7	182	12105
9.8	270	12305
9.9	47	12334
10	223	11988
10.1	35	11988
10.2	146	12141
10.3	129	12281
10.4	129	12105
10.5	217	12357
10.6	35	12480
10.7	152	12322
10.8	158	12193
10.9	158	12152
11	111	12486
11.1	41	12164
11.2	188	12193
11.3	18	12650
11.4	234	12223
11.5	188	12105
11.6	188	11994
11.7	188	12264
11.8	240	12041
11.9	35	12023
12	240	12088
12.1	240	12105
12.2	568	12586
12.3	170	12199
12.4	35	12070
12.5	234	11988
12.6	18	12264
12.7	129	11982
12.8	129	12135
12.9	158	12938
13	158	12129
13.1	217	12006
13.2	158	12117
13.3	158	12076
13.4	129	12129
13.5	129	12070
13.6	129	12141
13.7	129	12188
13.8	234	12680
13.9	23	12117
14	223	12088
14.1	240	12164
14.2	205	12047
14.3	229	12111
14.4	240	11994
14.5	35	13107
14.6	240	12064
14.7	234	12018
14.8	229	12146
14.9	129	12088
15	41	13588
15.1	240	12023
15.2	334	12146
15.3	217	11994
15.4	146	12223
15.5	158	12047
15.6	240	12176
15.7	223	12041
15.8	35	12627
15.9	146	12053
16	129	12352
16.1	129	12152
16.2	129	13020
16.3	41	12176
16.4	240	12129
16.5	23	12105
16.6	18	12732
16.7	1195	12674
16.8	211	12457
16.9	229	12645
17	246	12059
17.1	35	12129
17.2	240	12381
17.3	240	12357
17.4	275	11977
17.5	240	12164
17.6	47	12445
17.7	188	12264
17.8	23	12188
17.9	158	12832
18	135	12082
18.1	29	12938
18.2	164	12240
18.3	234	12762
18.4	158	12117
18.5	146	12135
18.6	135	13318
18.7	129	12410
18.8	129	12018
18.9	129	12873
19	234	12709
19.1	234	12117
19.2	234	12229
19.3	229	12504
19.4	240	12135
19.5	240	12451
19.6	234	12451
19.7	234	12563
19.8	240	12686
19.9	234	12264
20	246	12404
20.1	229	12129
20.2	41	12568
20.3	182	12135
20.4	287	12035
20.5	217	12141
20.6	164	12275
20.7	158	12035
20.8	234	12293
20.9	94	12404
