0.1	2315	11676
0.2	1061	11127
0.3	1836	13130
0.4	2326	11143
0.5	1012	12516
0.6	1448	11041
0.7	1970	14099
0.8	1314	12522
0.9	560	13641
1	2293	11606
1.1	1367	11100
1.2	2756	12069
1.3	910	11100
1.4	1362	11531
1.5	1012	11574
1.6	1803	11014
1.7	991	14056
1.8	1416	13038
1.9	996	12069
2	1884	11138
2.1	1475	11579
2.2	2304	11052
2.3	974	11095
2.4	1362	11488
2.5	1470	11111
2.6	2283	11154
2.7	1432	11084
2.8	1378	11106
2.9	1448	12069
3	1394	11488
3.1	1459	11122
3.2	1497	11617
3.3	1384	11192
3.4	851	12527
3.5	1793	11633
3.6	1986	11090
3.7	2336	11106
3.8	1362	11041
3.9	1820	15019
4	1335	12570
4.1	1335	12613
4.2	1464	11063
4.3	1330	11558
4.4	1303	11095
4.5	1486	11526
4.6	1017	11553
4.7	2363	11090
4.8	1895	11596
4.9	1793	11122
5	1954	11111
5.1	1965	12048
5.2	1475	11628
5.3	2277	11111
5.4	1852	11553
5.5	1453	11601
5.6	980	12522
5.7	1922	11090
5.8	1012	11542
5.9	1367	11030
6	1400	11063
6.1	910	11057
6.2	1039	11531
6.3	937	11569
6.4	592	11009
6.5	991	11170
6.6	2266	11590
6.7	1518	12075
6.8	1884	11138
6.9	1400	11649
7	974	11057
7.1	974	10993
7.2	1362	11585
7.3	1351	11143
7.4	2740	11143
7.5	1432	11084
7.6	2315	11009
7.7	1443	11633
7.8	1394	12053
7.9	1357	11047
8	1427	11709
8.1	1384	11095
8.2	1373	11456
8.3	1513	11063
8.4	2702	11138
8.5	1410	11106
8.6	1346	11660
8.7	1820	12527
8.8	1335	11127
8.9	1335	11536
9	1017	11063
9.1	996	11558
9.2	2891	11095
9.3	2799	12086
9.4	2353	11553
9.5	2363	11090
9.6	1960	11596
9.7	264	11122
9.8	269	11111
9.9	264	12048
10	258	11628
10.1	264	13135
10.2	264	11553
10.3	269	11106
10.4	1475	11601
10.5	264	11536
10.6	528	12559
10.7	522	12559
10.8	528	11111
10.9	517	11084
11	522	11020
11.1	522	11122
11.2	522	11014
11.3	528	12559
11.4	522	13614
11.5	522	12559
11.6	264	11106
11.7	264	11106
11.8	258	11084
11.9	264	11106
12	258	11655
12.1	528	11122
12.2	522	11143
12.3	522	11488
12.4	522	12559
12.5	522	11617
12.6	522	11612
12.7	528	12559
12.8	522	12559
12.9	522	12559
13	522	12559
13.1	522	12559
13.2	522	12559
13.3	522	12548
13.4	522	12559
13.5	522	12565
13.6	522	10993
13.7	528	10993
13.8	528	12559
13.9	528	12559
14	441	12559
14.1	441	12559
14.2	441	12559
14.3	264	12559
14.4	258	12559
14.5	264	12559
14.6	528	12559
14.7	522	12559
14.8	522	12559
14.9	264	12559
15	264	12559
15.1	522	13200
15.2	883	13205
15.3	894	13200
15.4	877	13200
15.5	522	13200
15.6	877	13200
15.7	883	13200
15.8	522	13200
15.9	528	13200
16	883	13200
16.1	894	13200
16.2	883	13200
16.3	861	13200
16.4	221	13200
16.5	872	13200
16.6	522	13200
16.7	872	13200
16.8	248	13200
16.9	248	12554
17	522	12559
17.1	522	12548
17.2	522	12559
17.3	522	12570
17.4	248	11014
17.5	883	13200
17.6	877	13200
17.7	528	13200
17.8	528	13200
17.9	883	13200
18	877	13200
18.1	883	13200
18.2	888	13200
18.3	883	13200
18.4	883	13200
18.5	894	13200
18.6	522	13200
18.7	522	13200
18.8	522	13200
18.9	883	13200
19	522	13205
19.1	522	13200
19.2	522	13200
19.3	522	13200
19.4	522	13200
19.5	522	13200
19.6	522	13200
19.7	517	13200
19.8	883	13200
19.9	528	13200
20	877	13200
20.1	694	13200
20.2	522	13200
20.3	694	13200
20.4	522	13200
20.5	522	12554
20.6	522	12559
20.7	511	12559
20.8	517	12462
20.9	522	12462
21	834	12462
21.1	824	12457
21.2	517	12462
21.3	824	12462
21.4	829	12462
21.5	824	12457
21.6	522	12457
21.7	931	12457
21.8	937	12457
21.9	942	12457
22	1055	12462
22.1	1044	12462
22.2	937	12457
22.3	926	12457
22.4	921	12457
22.5	931	12522
22.6	495	11542
22.7	495	11095
22.8	915	11563
22.9	931	11854
23	1039	11100
23.1	931	15025
23.2	490	13604
23.3	1039	11170
23.4	931	11003
23.5	1050	11100
23.6	931	11100
23.7	931	11100
23.8	947	11100
23.9	738	11100
24	931	11100
24.1	1044	11100
24.2	926	11100
24.3	490	11100
24.4	1050	11100
24.5	1044	11100
24.6	1394	11100
24.7	953	11100
24.8	1050	11100
24.9	1044	11100
25	1050	11100
25.1	1039	11100
25.2	1039	11100
25.3	1050	11757
25.4	1050	11763
25.5	1039	11763
25.6	791	11763
25.7	786	11763
25.8	786	11763
25.9	883	11763
26	877	13200
26.1	877	13200
26.2	221	13200
26.3	221	13200
26.4	991	13200
26.5	883	13200
26.6	991	13205
26.7	883	11757
26.8	877	13200
26.9	877	13200
27	985	13200
27.1	991	13200
27.2	991	13200
27.3	991	13200
27.4	495	13200
27.5	996	13200
27.6	980	13200
27.7	490	13200
27.8	991	13200
27.9	996	13103
28	490	11100
28.1	980	11100
28.2	985	11100
28.3	991	11100
28.4	991	11100
28.5	985	11100
28.6	2304	11100
28.7	991	11117
28.8	1949	11100
28.9	1050	11100
29	1055	11100
29.1	1050	11100
29.2	1044	11100
29.3	1050	11100
29.4	1044	11100
29.5	1044	11100
29.6	1050	11100
29.7	1050	11100
29.8	1400	11100
29.9	1389	11100
30	1050	11095
30.1	991	11111
30.2	1400	11117
30.3	1389	11122
30.4	1400	11127
30.5	1384	14524
30.6	1389	13124
30.7	1389	12112
30.8	1394	11095
30.9	1394	12086
31	1400	11553
31.1	1039	11090
31.2	1039	11596
31.3	1044	11122
31.4	1034	11127
31.5	1034	12010
31.6	1044	11025
31.7	1044	11160
31.8	1034	11009
31.9	1012	11090
32	1034	12118
32.1	1039	11014
32.2	1384	12118
32.3	415	11014
32.4	415	11612
32.5	415	12053
32.6	1389	11612
32.7	1400	11590
32.8	415	11009
32.9	415	12053
33	415	11014
33.1	415	12053
33.2	1394	11106
33.3	415	11612
33.4	1050	11106
33.5	1039	12586
33.6	1039	12042
33.7	1039	11090
33.8	1039	10971
33.9	415	11014
34	1044	12053
34.1	1039	11106
34.2	1044	11612
34.3	1044	11106
34.4	1071	12586
34.5	1044	12048
34.6	1071	11090
34.7	1394	12053
34.8	1389	11014
34.9	1394	11122
35	1384	11117
35.1	1394	11219
35.2	1400	11526
35.3	1384	11499
35.4	1389	11122
35.5	1384	11133
35.6	1039	11100
35.7	1039	12565
35.8	415	11504
35.9	415	12624
36	415	11612
36.1	415	11106
36.2	415	11160
36.3	415	11036
36.4	415	11009
36.5	415	12118
36.6	1050	11014
36.7	1039	11579
36.8	1039	11014
36.9	415	11095
37	1034	11106
37.1	1044	11149
37.2	1050	12042
37.3	1405	12586
37.4	1389	12118
37.5	1394	12618
37.6	1389	12053
37.7	1389	11020
37.8	1389	11617
37.9	1389	11106
38	1400	11160
38.1	1384	11509
38.2	1400	12102
38.3	415	11160
38.4	415	11014
38.5	415	12118
38.6	221	11127
38.7	415	11095
