0.1	388	12322
0.2	495	12322
0.3	393	14077
0.4	22	14077
0.5	264	14083
0.6	258	14083
0.7	393	11440
0.8	393	11746
0.9	167	14083
1	129	14077
1.1	264	11746
1.2	258	12317
1.3	328	11440
1.4	328	14077
1.5	258	14077
1.6	393	14083
1.7	328	14083
1.8	1168	14083
1.9	167	14083
2	328	14083
2.1	393	14077
2.2	495	12322
2.3	495	11030
2.4	129	12317
2.5	22	14077
2.6	393	11746
2.7	167	11434
2.8	27	11380
2.9	22	11009
3	587	13334
3.1	441	11154
3.2	587	12080
3.3	393	11348
3.4	22	11493
3.5	393	11063
3.6	495	12150
3.7	495	11230
3.8	129	11165
3.9	441	11434
4	587	14083
4.1	393	14083
4.2	27	12317
4.3	16	14083
4.4	393	11746
4.5	393	14083
4.6	22	14083
4.7	248	14077
4.8	22	14077
4.9	258	14077
5	328	12328
5.1	264	12317
5.2	264	14077
5.3	22	14083
5.4	393	14077
5.5	393	14077
5.6	27	14077
5.7	16	14077
5.8	264	14077
5.9	328	14077
6	328	11746
6.1	264	12322
6.2	22	14083
6.3	22	11746
6.4	393	11160
6.5	393	11644
6.6	258	11644
6.7	22	11746
6.8	441	11504
6.9	441	11413
7	1174	11208
7.1	16	11348
7.2	22	11547
7.3	22	11170
7.4	22	11380
7.5	22	11197
7.6	16	11440
7.7	22	12322
7.8	393	11854
7.9	393	12317
8	264	14077
8.1	22	14077
8.2	393	11746
8.3	393	14083
8.4	27	12322
8.5	22	14083
8.6	495	11746
8.7	587	12317
8.8	328	15843
8.9	264	14083
9	129	14083
9.1	393	14083
9.2	393	14083
9.3	393	14083
9.4	161	14083
9.5	22	14083
9.6	587	14077
9.7	393	14083
9.8	393	12339
9.9	22	11590
10	16	11440
10.1	393	11493
10.2	27	11719
10.3	393	11746
10.4	22	11149
10.5	587	11736
10.6	16	11154
10.7	393	11574
10.8	393	11579
10.9	27	11197
11	393	11240
11.1	393	11940
11.2	393	12430
11.3	22	11095
11.4	587	12322
11.5	587	14083
11.6	393	13200
11.7	264	12317
11.8	258	12317
11.9	393	14077
12	587	14077
12.1	393	12317
12.2	129	14077
12.3	27	14077
12.4	264	14077
12.5	393	12322
12.6	393	11440
12.7	22	14077
12.8	258	14083
12.9	393	14077
13	27	14077
13.1	393	14083
13.2	264	14083
13.3	27	14077
13.4	587	14077
13.5	393	12317
13.6	248	11445
13.7	27	11746
13.8	22	12317
13.9	441	12839
14	161	11100
14.1	22	11165
14.2	16	11100
14.3	587	11219
14.4	27	11515
14.5	1760	11235
14.6	528	13055
14.7	22	11434
14.8	22	11143
14.9	22	11763
15	264	11585
15.1	16	11450
15.2	22	12322
15.3	522	11854
15.4	161	12317
15.5	22	14077
15.6	393	14077
15.7	393	12317
15.8	393	14083
15.9	275	11746
16	129	14083
16.1	264	11746
16.2	258	12317
16.3	393	14077
16.4	258	14083
16.5	258	14083
16.6	393	14083
16.7	587	11440
16.8	167	14083
16.9	22	14083
17	328	14083
17.1	393	14077
17.2	393	12317
17.3	393	12317
17.4	129	11300
17.5	27	11440
17.6	393	11779
17.7	161	11111
17.8	161	11165
17.9	587	11025
18	587	11246
18.1	522	11165
18.2	167	11230
18.3	587	12139
18.4	781	11106
18.5	393	11057
18.6	32	11719
18.7	393	11520
18.8	129	11030
18.9	441	13200
19	495	14083
19.1	393	14083
19.2	167	14088
19.3	258	14083
19.4	495	11746
19.5	495	11746
19.6	167	11854
19.7	22	14083
19.8	328	14083
19.9	495	14077
20	328	11440
20.1	258	14077
20.2	167	11746
20.3	258	14083
20.4	393	14077
20.5	393	14077
20.6	161	14083
20.7	16	14083
20.8	495	14077
20.9	495	14077
21	167	11440
21.1	27	12322
21.2	16	14083
21.3	495	11746
21.4	32	11160
21.5	22	11364
21.6	167	11186
21.7	27	11030
21.8	22	11095
21.9	16	11273
22	1760	11579
22.1	16	11579
22.2	22	11165
22.3	22	11606
